"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C19,C12,C11,C18,C7,C9,C20";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";7;"100n";;;
2;"POS";"BatteryClip_Keystone_54_D16-19mm";1;"Bat_pos";;;
3;"U3";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328P-A";;;
4;"R5,R6,R7";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";3;"1k";;;
5;"D2";"D_SOD-123F";1;"PMEG2005EH";;;
6;"U5";"SOIC-8_3.9x4.9mm_P1.27mm";1;"TMP36xS";;;
7;"C16,C6,C17,C5,C3";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";5;"1u";;;
8;"D,A,C,B";"SW_SPST_PTS645";4;"SW_Push";;;
9;"R13,R10,R11,R12";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";4;"10k";;;
10;"RST";"SW_SPST_B3U-1000P-B";1;"RESET_JMP";;;
11;"J4";"USB_Mini-B_Wuerth_65100516121_Horizontal";1;"USB_B_Mini";;;
12;"R4,R3";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"4k7";;;
13;"C10,C15,C4";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";3;"10u";;;
14;"C1,C2";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"4u7";;;
15;"R2";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"470R";;;
16;"DISPLAY";"SSD1306 128x32px";1;"Display";;;
17;"R1";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"2k";;;
18;"Y1";"Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm_HandSoldering";1;"Resonator 8MHz";;;
19;"C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4u7/16V";;;
20;"U4";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340C";;;
21;"R14";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"22R";;;
22;"PRG";"PinHeader_2x03_P2.54mm_Vertical";1;"ICSP";;;
23;"U1";"SOT-23-5";1;"MCP73831-2-OT";;;
24;"D1";"LED_0805_2012Metric";1;"BLUE";;;
25;"U8";"InvenSense_QFN-24_3x3mm_P0.4mm";1;"ICM-20948";;;
26;"NEG";"BatteryClip_Keystone_54_D16-19mm";1;"Bat_neg";;;
27;"U7";"Avago_APDS-9960";1;"APDS-9960";;;
28;"R16";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"dnp";;;
29;"U2";"SOT-89-3";1;"AP130-33Y";;;
30;"R15";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"0R";;;
